,x1,x2,cluster
0,36.279514,-9.143176,0
1,-49.75021,-4.1549797,1
2,-17.86119,-10.663106,1
3,12.101245,-27.080004,0
4,7.300362,-23.680065,0
5,10.105302,39.304806,0
6,55.513103,45.075,0
7,12.794177,20.359205,1
8,-62.683926,-36.25427,1
9,-29.019924,23.775137,0
10,-47.291405,33.047066,0
11,-18.499147,67.853386,0
12,-25.391066,-67.50228,1
13,-19.222261,-5.3699555,1
14,14.051101,17.394018,1
15,-2.3135529,14.578376,1
16,68.42889,-34.28542,0
17,7.1437874,54.381115,0
18,-33.34112,39.978447,0
19,-59.23312,1.8485056,1
20,-41.23529,50.824146,0
21,-19.089207,1.7767162,0
22,-29.176012,-18.48502,1
23,17.236637,-68.51605,1
24,-47.72211,-15.512305,1
25,35.12671,22.967716,0
26,32.90977,35.213463,0
27,-16.962702,36.9727,0
28,-22.274288,-4.5047417,1
29,1.2501981,-62.972755,1
30,-13.218136,-54.893444,1
31,26.855188,-1.197792,1
32,-7.1336327,70.8345,0
33,8.484689,-1.7234073,0
34,-43.99186,-51.240334,1
35,3.1184127,10.692706,1
36,-31.436493,-20.280518,1
37,-9.056462,41.30234,0
38,-20.12377,21.280294,0
39,-50.39086,-57.6067,1
40,8.205528,-43.42282,1
41,-40.08894,54.863525,0
42,66.87421,-6.6837373,0
43,-0.7043538,62.92293,0
44,-5.7278557,-17.90158,1
45,70.92347,2.279945,0
46,-52.987835,-23.878582,1
47,6.22903,-28.642508,0
48,-45.05697,41.169,0
49,-1.2433243,-64.34628,1
50,5.241306,-1.6242365,0
51,-7.767674,-2.4484258,1
52,-62.214493,-27.799986,1
53,-5.3077035,-71.63936,1
54,-5.1479254,-32.167473,1
55,-42.515076,23.004826,0
56,71.5993,23.093534,0
57,6.036492,-77.43004,1
58,-9.364671,0.5613774,1
59,47.98254,-54.140327,0
60,-29.089294,-15.274391,1
61,7.3356824,67.92145,0
62,52.53925,9.28075,0
63,23.598707,-51.492615,1
64,-29.517872,-11.354285,1
65,-15.532802,-34.522488,1
66,-61.415283,-6.375363,1
67,-28.985477,-40.80639,1
68,30.011896,27.144367,0
69,24.411942,39.846836,0
70,72.21638,-7.9673104,0
71,-21.378054,-45.99642,1
72,40.520184,26.586586,0
73,26.575739,28.789127,0
74,-24.017101,-65.27444,1
75,-13.646983,-7.794682,1
76,-43.1905,-29.698984,1
77,28.767818,66.556755,0
78,-43.27105,4.2256145,1
79,61.8611,-5.2128983,0
80,-25.105612,36.06853,0
81,41.578117,14.557823,0
82,41.820698,13.73107,0
83,-63.203533,-29.416433,1
84,-42.58611,-11.698931,1
85,13.781087,58.33526,0
86,-24.174898,-0.6317708,1
87,68.992516,23.214396,0
88,39.504463,5.5881004,0
89,1.8220464,-66.2529,1
90,-42.001015,1.0408179,1
91,53.859756,26.34226,0
92,23.345633,13.933202,0
93,-50.87224,-40.791306,1
94,-44.14572,46.356506,0
95,-37.10146,-0.0017344577,1
96,51.12389,1.9370883,0
97,-2.6355991,65.3913,0
98,-52.938293,4.8685384,1
99,-9.9846525,32.32121,0
100,22.793856,3.783866,1
101,-4.7907195,-59.01829,1
102,-57.090874,1.81867,1
103,-38.825336,2.76261,1
104,66.72487,35.175503,0
105,-28.270294,-72.138214,1
106,46.82418,-15.86395,0
107,0.43952796,-44.26413,1
108,30.55705,-10.468837,0
109,-50.30195,-18.215933,1
110,-29.390928,-11.211748,1
111,3.1783512,19.66171,1
112,-29.710558,41.074184,0
113,8.706788,-23.465263,0
114,36.1183,17.962286,0
115,-43.503708,-61.103767,1
116,0.36210266,-51.63127,1
117,25.050179,-23.572527,0
118,-67.53631,-33.591145,1
119,-11.901024,-45.503838,1
120,1.1042507,-59.661594,1
121,73.317085,11.118906,0
122,45.15566,24.027872,0
123,-9.789133,1.2243485,1
124,-22.64984,-55.292282,1
125,1.4842956,-11.621477,1
126,45.956127,-37.713528,0
127,26.310944,-13.448608,0
128,-66.638054,14.604504,1
129,-54.66045,22.180428,1
130,3.1579597,23.134876,1
131,-9.386374,-25.712715,1
132,15.46647,43.507145,0
133,-21.83211,42.30399,0
134,27.79729,33.525604,0
135,-61.313206,-1.1799984,1
136,-5.452267,-40.116962,1
137,14.58933,-37.507145,0
138,19.648722,40.49814,0
139,-26.769415,-28.205034,1
140,31.832504,25.026224,0
141,-27.568136,18.872637,0
142,-48.70535,21.78974,1
143,52.750896,-24.349007,0
144,37.62519,4.4242997,0
145,-45.683617,3.609546,1
146,23.368622,-33.78543,0
147,-24.65528,-12.517124,1
148,-61.207108,5.827546,1
149,-22.688875,-48.650803,1
150,-69.79118,-31.335108,1
151,-54.454147,-41.468296,1
152,15.014688,-46.535717,1
153,-69.650406,11.163761,1
154,-46.793304,-3.869348,1
155,-1.8228067,-59.46458,1
156,-50.346577,36.46735,0
157,-32.569305,15.901785,1
